"Notes"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"2 years"	"2"	"2018"	"2018"	28	3991437	0.7
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"2 years"	"2"	"2019"	"2019"	20	3922044	0.5
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"2 years"	"2"	"2020"	"2020"	32	3853025	0.8
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"2 years"	"2"	"2021"	"2021"	31	3767428	0.8
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"2 years"	"2"	"2022 "	"2022"	19	3693362	Unreliable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"3 years"	"3"	"2018"	"2018"	34	4036562	0.8
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"3 years"	"3"	"2019"	"2019"	25	3998665	0.6
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"3 years"	"3"	"2020"	"2020"	34	3921526	0.9
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"3 years"	"3"	"2021"	"2021"	30	3856743	0.8
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"3 years"	"3"	"2022 "	"2022"	30	3742836	0.8
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"4 years"	"4"	"2018"	"2018"	37	4021168	0.9
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"4 years"	"4"	"2019"	"2019"	25	4043323	0.6
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"4 years"	"4"	"2020"	"2020"	32	4017847	0.8
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"4 years"	"4"	"2021"	"2021"	28	3935738	0.7
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"4 years"	"4"	"2022 "	"2022"	17	3830225	Unreliable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"5 years"	"5"	"2018"	"2018"	13	4010118	Unreliable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"5 years"	"5"	"2019"	"2019"	34	4028281	0.8
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"5 years"	"5"	"2020"	"2020"	24	4054336	0.6
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"5 years"	"5"	"2021"	"2021"	19	4040153	Unreliable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"5 years"	"5"	"2022 "	"2022"	18	3907298	Unreliable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"6 years"	"6"	"2018"	"2018"	21	4015259	0.5
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"6 years"	"6"	"2019"	"2019"	23	4017227	0.6
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"6 years"	"6"	"2020"	"2020"	15	4040169	Unreliable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"6 years"	"6"	"2021"	"2021"	11	4076629	Unreliable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"6 years"	"6"	"2022 "	"2022"	30	4008898	0.7
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"7 years"	"7"	"2018"	"2018"	25	4059363	0.6
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"7 years"	"7"	"2019"	"2019"	18	4022319	Unreliable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"7 years"	"7"	"2020"	"2020"	17	4029753	Unreliable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"7 years"	"7"	"2021"	"2021"	18	4064596	Unreliable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"7 years"	"7"	"2022 "	"2022"	19	4043729	Unreliable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"8 years"	"8"	"2018"	"2018"	25	4055624	0.6
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"8 years"	"8"	"2019"	"2019"	11	4066194	Unreliable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"8 years"	"8"	"2020"	"2020"	15	4034785	Unreliable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"8 years"	"8"	"2021"	"2021"	17	4051555	Unreliable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"8 years"	"8"	"2022 "	"2022"	23	4031341	0.6
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"9 years"	"9"	"2018"	"2018"	23	4055278	0.6
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"9 years"	"9"	"2019"	"2019"	20	4061874	0.5
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"9 years"	"9"	"2020"	"2020"	16	4078668	Unreliable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"9 years"	"9"	"2021"	"2021"	18	4058615	Unreliable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"9 years"	"9"	"2022 "	"2022"	25	4017929	0.6
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"10 years"	"10"	"2018"	"2018"	24	4184077	0.6
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"10 years"	"10"	"2019"	"2019"	16	4060940	Unreliable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"10 years"	"10"	"2020"	"2020"	24	4074173	0.6
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"10 years"	"10"	"2021"	"2021"	18	4103489	Unreliable
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"10 years"	"10"	"2022 "	"2022"	21	4024547	0.5
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"11 years"	"11"	"2018"	"2018"	26	4203007	0.6
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"11 years"	"11"	"2019"	"2019"	25	4189261	0.6
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"11 years"	"11"	"2020"	"2020"	25	4072994	0.6
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"11 years"	"11"	"2021"	"2021"	25	4189406	0.6
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"11 years"	"11"	"2022 "	"2022"	33	4068564	0.8
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"12 years"	"12"	"2018"	"2018"	32	4168485	0.8
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"12 years"	"12"	"2019"	"2019"	32	4208387	0.8
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"12 years"	"12"	"2020"	"2020"	31	4200977	0.7
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"12 years"	"12"	"2021"	"2021"	24	4279315	0.6
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"12 years"	"12"	"2022 "	"2022"	37	4152811	0.9
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"13 years"	"13"	"2018"	"2018"	32	4156887	0.8
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"13 years"	"13"	"2019"	"2019"	24	4175221	0.6
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"13 years"	"13"	"2020"	"2020"	41	4219921	1.0
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"13 years"	"13"	"2021"	"2021"	35	4442581	0.8
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"13 years"	"13"	"2022 "	"2022"	33	4240884	0.8
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"14 years"	"14"	"2018"	"2018"	42	4167071	1.0
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"14 years"	"14"	"2019"	"2019"	26	4164459	0.6
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"14 years"	"14"	"2020"	"2020"	38	4186358	0.9
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"14 years"	"14"	"2021"	"2021"	35	4432993	0.8
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"14 years"	"14"	"2022 "	"2022"	34	4403033	0.8
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"15 years"	"15"	"2018"	"2018"	37	4141218	0.9
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"15 years"	"15"	"2019"	"2019"	52	4175459	1.2
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"15 years"	"15"	"2020"	"2020"	44	4175920	1.1
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"15 years"	"15"	"2021"	"2021"	40	4355926	0.9
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"15 years"	"15"	"2022 "	"2022"	48	4396566	1.1
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"16 years"	"16"	"2018"	"2018"	57	4130744	1.4
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"16 years"	"16"	"2019"	"2019"	32	4150420	0.8
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"16 years"	"16"	"2020"	"2020"	54	4187874	1.3
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"16 years"	"16"	"2021"	"2021"	60	4310462	1.4
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"16 years"	"16"	"2022 "	"2022"	49	4325808	1.1
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"17 years"	"17"	"2018"	"2018"	53	4241936	1.2
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"17 years"	"17"	"2019"	"2019"	45	4142425	1.1
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"17 years"	"17"	"2020"	"2020"	34	4164893	0.8
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"17 years"	"17"	"2021"	"2021"	64	4333375	1.5
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"17 years"	"17"	"2022 "	"2022"	49	4291066	1.1
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"18 years"	"18"	"2018"	"2018"	45	4319722	1.0
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"18 years"	"18"	"2019"	"2019"	52	4255827	1.2
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"18 years"	"18"	"2020"	"2020"	49	4159857	1.2
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"18 years"	"18"	"2021"	"2021"	56	4292780	1.3
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"18 years"	"18"	"2022 "	"2022"	73	4326642	1.7
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"19 years"	"19"	"2018"	"2018"	52	4263601	1.2
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"19 years"	"19"	"2019"	"2019"	56	4330439	1.3
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"19 years"	"19"	"2020"	"2020"	46	4272385	1.1
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"19 years"	"19"	"2021"	"2021"	53	4272123	1.2
	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	"19 years"	"19"	"2022 "	"2022"	68	4295710	1.6
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"1 year"	"1"	"2018"	"2018"	15	3912900	Unreliable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"1 year"	"1"	"2019"	"2019"	17	3829599	Unreliable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"1 year"	"1"	"2020"	"2020"	11	3773884	Unreliable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"1 year"	"1"	"2021"	"2021"	13	3702936	Unreliable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"2 years"	"2"	"2018"	"2018"	12	3991437	Unreliable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"2 years"	"2"	"2019"	"2019"	11	3922044	Unreliable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"2 years"	"2"	"2020"	"2020"	10	3853025	Unreliable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"2 years"	"2"	"2022 "	"2022"	17	3693362	Unreliable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"3 years"	"3"	"2019"	"2019"	12	3998665	Unreliable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"12 years"	"12"	"2021"	"2021"	10	4279315	Unreliable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"13 years"	"13"	"2018"	"2018"	11	4156887	Unreliable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"14 years"	"14"	"2019"	"2019"	12	4164459	Unreliable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"15 years"	"15"	"2018"	"2018"	12	4141218	Unreliable
	"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)"	"GR113-044"	"19 years"	"19"	"2021"	"2021"	12	4272123	Unreliable
	"#Anemias (D50-D64)"	"GR113-045"	"19 years"	"19"	"2021"	"2021"	10	4272123	Unreliable
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"11 years"	"11"	"2020"	"2020"	11	4072994	Unreliable
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"12 years"	"12"	"2021"	"2021"	14	4279315	Unreliable
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"13 years"	"13"	"2020"	"2020"	12	4219921	Unreliable
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"13 years"	"13"	"2021"	"2021"	10	4442581	Unreliable
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"14 years"	"14"	"2018"	"2018"	11	4167071	Unreliable
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"14 years"	"14"	"2020"	"2020"	10	4186358	Unreliable
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"14 years"	"14"	"2022 "	"2022"	10	4403033	Unreliable
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"15 years"	"15"	"2020"	"2020"	17	4175920	Unreliable
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"15 years"	"15"	"2021"	"2021"	22	4355926	0.5
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"15 years"	"15"	"2022 "	"2022"	12	4396566	Unreliable
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"16 years"	"16"	"2018"	"2018"	11	4130744	Unreliable
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"16 years"	"16"	"2020"	"2020"	12	4187874	Unreliable
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"16 years"	"16"	"2021"	"2021"	15	4310462	Unreliable
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"17 years"	"17"	"2018"	"2018"	11	4241936	Unreliable
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"17 years"	"17"	"2020"	"2020"	15	4164893	Unreliable
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"17 years"	"17"	"2021"	"2021"	15	4333375	Unreliable
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"17 years"	"17"	"2022 "	"2022"	15	4291066	Unreliable
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"18 years"	"18"	"2018"	"2018"	20	4319722	0.5
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"18 years"	"18"	"2019"	"2019"	14	4255827	Unreliable
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"18 years"	"18"	"2020"	"2020"	21	4159857	0.5
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"18 years"	"18"	"2021"	"2021"	24	4292780	0.6
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"18 years"	"18"	"2022 "	"2022"	15	4326642	Unreliable
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"19 years"	"19"	"2018"	"2018"	17	4263601	Unreliable
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"19 years"	"19"	"2019"	"2019"	30	4330439	0.7
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"19 years"	"19"	"2020"	"2020"	28	4272385	0.7
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"19 years"	"19"	"2021"	"2021"	31	4272123	0.7
	"#Diabetes mellitus (E10-E14)"	"GR113-046"	"19 years"	"19"	"2022 "	"2022"	24	4295710	0.6
	"#Meningitis (G00,G03)"	"GR113-050"	"1 year"	"1"	"2022 "	"2022"	10	3588817	Unreliable
